id,description,difficulty_level,topic,is_published,created_at,updated_at,detailed_solution,type,is_mandatory,show_in_feed,pyq_label,topic_id,reading_material_id,fixed_at,fix_summary,created_by,updated_by,quiz_level,question_from,language,photo_url,photo_solution_url,is_saved,tag,options
1859,Neuroglia are,,structural organisation in animals ,True,2024-07-02T14:30:13.983+05:30,2024-11-30T18:39:27.201+05:30,"**Explanation:**

Neuroglia are supporting cells of neural tissue. They do not participate in the transmission of nerve impulses. They provide structural support and protection to neurons. They also help in the maintenance of the neural environment.

**Additional context:**

* Neuroglia are also known as glial cells.
* They are divided into two main types:
    * Macroglia: These include astrocytes, oligodendrocytes, and ependymal cells.
    * Microglia: These are phagocytic cells that remove debris and pathogens from the neural tissue.
* Neuroglia play a crucial role in the development, function, and repair of the nervous system.",,False,False,,146,2048,,,,,,Q-bank,,,,False,,"[{'id': 7449, 'description': 'excitable cells of neural tissue.', 'question_id': 1859, 'is_correct': False, 'created_at': '2024-07-02T14:30:13.987+05:30', 'updated_at': '2024-07-02T14:30:13.987+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7450, 'description': 'supporting and non-protecting cells of neural tissue', 'question_id': 1859, 'is_correct': True, 'created_at': '2024-07-02T14:30:13.990+05:30', 'updated_at': '2024-07-02T14:30:13.990+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7451, 'description': 'two to three times in volume of neural tissue', 'question_id': 1859, 'is_correct': False, 'created_at': '2024-07-02T14:30:13.993+05:30', 'updated_at': '2024-07-02T14:30:13.993+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7452, 'description': 'protective and excitable cells of neural tissue', 'question_id': 1859, 'is_correct': False, 'created_at': '2024-07-02T14:30:14.006+05:30', 'updated_at': '2024-07-02T14:30:14.006+05:30', 'unanswered': False, 'photo_url': None}]"
1860,Nervous tissue cells that play several supporting roles but do not transmit impulses are called,,structural organisation in animals ,True,2024-07-02T14:32:03.449+05:30,2024-11-30T18:39:27.409+05:30,"**Explanation:**

**Nervous tissue** is composed of two main types of cells: neurons and neuroglia.

* **Neurons** are the functional units of the nervous system and transmit electrical impulses.

* **Neuroglia** (also called glial cells) are supporting cells that play several important roles but do not transmit impulses themselves.

**Functions of Neuroglia:**

* **Support and insulation:** Glial cells provide structural support and insulation to neurons, allowing them to function properly.
* **Nutrient supply:** Glial cells help in the transport of nutrients and oxygen to neurons.
* **Waste removal:** Glial cells remove waste products from the nervous tissue.
* **Myelination:** Schwann cells and oligodendrocytes form myelin sheaths around the axons of neurons, which speeds up the transmission of electrical impulses.
* **Phagocytosis:** Microglial cells act as phagocytes, removing damaged or dead neurons and debris from the nervous tissue.

Therefore, the correct answer is **glial cells**.",,False,False,,146,2049,,,,,,Q-bank,,,,False,,"[{'id': 7453, 'description': 'glial cells', 'question_id': 1860, 'is_correct': True, 'created_at': '2024-07-02T14:32:03.452+05:30', 'updated_at': '2024-07-02T14:32:03.452+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7454, 'description': 'dendrites', 'question_id': 1860, 'is_correct': False, 'created_at': '2024-07-02T14:32:03.454+05:30', 'updated_at': '2024-07-02T14:32:03.454+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7455, 'description': 'nerve cells', 'question_id': 1860, 'is_correct': False, 'created_at': '2024-07-02T14:32:03.456+05:30', 'updated_at': '2024-07-02T14:32:03.456+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7456, 'description': 'neurons', 'question_id': 1860, 'is_correct': False, 'created_at': '2024-07-02T14:32:03.458+05:30', 'updated_at': '2024-07-02T14:32:03.458+05:30', 'unanswered': False, 'photo_url': None}]"
1861,Which of the following statements Is not correct regarding neural tissue ?,,structural organisation in animals ,True,2024-07-02T14:40:26.660+05:30,2024-11-30T18:39:27.615+05:30,"The statement ""Chondrocytes, the unit of neural system are excitable cells"" is not true. 

**Explanation**

Neural tissue is a type of tissue that makes up the nervous system. The unit of neural tissue is the neuron, which is a specialized cell that is capable of transmitting electrical signals throughout the body. Chondrocytes, on the other hand, are cells that make up cartilage, which is a type of connective tissue. Chondrocytes are not excitable cells, and they do not play a role in the transmission of electrical signals.

Here is a breakdown of the other statements in the question:

**A). Neurons are the structural and functional unit of the nervous system**
- This is true. Neurons are the basic building blocks of the nervous system, and they are responsible for transmitting electrical signals throughout the body.
**B). Neuroglia provide structural and nutritional support to the neurons**
- This is also true. Neuroglia are cells that provide support and protection to the neurons. They help to keep the neurons in place, and they also provide them with nutrients and oxygen.
**C). Nervous tissue is found only in the brain and spinal cord**
- This is not true. Nervous tissue is found throughout the body, including in the peripheral nerves, which are responsible for transmitting signals to and from the brain and spinal cord.",,False,False,,146,2050,,,,,,Q-bank,,,,False,,"[{'id': 7457, 'description': ""it exerts the greatest control over the body's responsiveness to changing conditions."", 'question_id': 1861, 'is_correct': False, 'created_at': '2024-07-02T14:40:26.686+05:30', 'updated_at': '2024-07-02T14:40:26.686+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7458, 'description': 'Chondrocytes, the unit of neural system are excitable cells.', 'question_id': 1861, 'is_correct': True, 'created_at': '2024-07-02T14:40:26.694+05:30', 'updated_at': '2024-07-02T14:40:26.694+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7459, 'description': 'Neuroglial cells protect and support neurons.', 'question_id': 1861, 'is_correct': False, 'created_at': '2024-07-02T14:40:26.703+05:30', 'updated_at': '2024-07-02T14:40:26.703+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7460, 'description': 'When a neuron is suitably stimulated, an electrical disturbance is generated.', 'question_id': 1861, 'is_correct': False, 'created_at': '2024-07-02T14:40:26.709+05:30', 'updated_at': '2024-07-02T14:40:26.709+05:30', 'unanswered': False, 'photo_url': None}]"
1862,The secretions of endocrine glands are released directly,,structural organisation in animals ,True,2024-07-02T14:44:43.870+05:30,2024-11-30T18:39:27.820+05:30,,,False,False,,146,2051,,,,,,Q-bank,,,,False,,"[{'id': 7461, 'description': 'into the skin surface', 'question_id': 1862, 'is_correct': False, 'created_at': '2024-07-02T14:44:43.876+05:30', 'updated_at': '2024-07-02T14:44:43.876+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7462, 'description': 'into the blood stream', 'question_id': 1862, 'is_correct': True, 'created_at': '2024-07-02T14:44:43.880+05:30', 'updated_at': '2024-07-02T14:44:43.880+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7463, 'description': 'into a gland duct', 'question_id': 1862, 'is_correct': False, 'created_at': '2024-07-02T14:44:43.882+05:30', 'updated_at': '2024-07-02T14:44:43.882+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7464, 'description': 'into the brain tissue', 'question_id': 1862, 'is_correct': False, 'created_at': '2024-07-02T14:44:43.884+05:30', 'updated_at': '2024-07-02T14:44:43.884+05:30', 'unanswered': False, 'photo_url': None}]"
1863,Mast cells are associated with,,structural organisation in animals ,True,2024-07-02T14:45:40.377+05:30,2024-11-30T18:39:28.026+05:30,"**Mast cells** are a type of white blood cell that is found in connective tissue. They are associated with **areolar connective tissue**, which is a loose, irregularly arranged type of connective tissue that is found in many parts of the body, such as the dermis of the skin and the submucosa of the digestive tract. Mast cells are important for the body's immune response, as they release histamine and other inflammatory mediators when they are activated.

Here are some additional details about mast cells and areolar connective tissue:

* Mast cells are derived from stem cells in the bone marrow. They circulate in the blood and then migrate to tissues where they are needed.
* Areolar connective tissue is a type of loose connective tissue that is characterized by its loose, irregular arrangement of collagen fibers. It is found in many parts of the body, such as the dermis of the skin, the submucosa of the digestive tract, and the stroma of organs.
* Mast cells are activated by a variety of stimuli, including allergens, cytokines, and physical trauma. When they are activated, they release histamine and other inflammatory mediators, which cause blood vessels to dilate and become more permeable. This leads to increased blood flow and the accumulation of fluid and white blood cells in the affected area.
* Mast cells play an important role in the body's immune response. They are involved in both innate immunity and adaptive immunity. In innate immunity, mast cells release histamine and other inflammatory mediators that help to recruit other immune cells to the site of infection. In adaptive immunity, mast cells present antigens to T cells, which helps to activate the adaptive immune response.

Overall, mast cells are important cells that play a key role in the body's immune response. They are associated with areolar connective tissue, which is a type of loose connective tissue that is found in many parts of the body.",,False,False,,146,2052,,,,,,Q-bank,,,,False,,"[{'id': 7465, 'description': 'exocrine glands', 'question_id': 1863, 'is_correct': False, 'created_at': '2024-07-02T14:45:40.381+05:30', 'updated_at': '2024-07-02T14:45:40.381+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7466, 'description': 'endocrine glands', 'question_id': 1863, 'is_correct': False, 'created_at': '2024-07-02T14:45:40.385+05:30', 'updated_at': '2024-07-02T14:45:40.385+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7467, 'description': 'areolar connective tissue', 'question_id': 1863, 'is_correct': True, 'created_at': '2024-07-02T14:45:40.388+05:30', 'updated_at': '2024-07-02T14:45:40.388+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7468, 'description': 'neural tissue', 'question_id': 1863, 'is_correct': False, 'created_at': '2024-07-02T14:45:40.392+05:30', 'updated_at': '2024-07-02T14:45:40.392+05:30', 'unanswered': False, 'photo_url': None}]"
1864,Which of the following is involved in the production of new blood cells?,,structural organisation in animals ,True,2024-07-02T14:49:01.268+05:30,2024-11-30T18:39:28.232+05:30,"**Explanation:**

Bone marrow is a soft, jelly-like tissue found inside the cavities of bones. It is responsible for the production of new blood cells through a process called hematopoiesis.

Hematopoiesis involves the differentiation of stem cells into various types of blood cells, including:

* Red blood cells (erythrocytes)
* White blood cells (leukocytes)
* Platelets (thrombocytes)

These blood cells play crucial roles in maintaining the body's health and functioning:

* **Red blood cells:** Carry oxygen from the lungs to various tissues and organs.
* **White blood cells:** Defend the body against infections and foreign substances.
* **Platelets:** Help stop bleeding by forming clots.

Therefore, bone marrow is essential for maintaining a constant supply of new blood cells and ensuring the proper functioning of the circulatory system.",,False,False,,146,2053,,,,,,Q-bank,,,,False,,"[{'id': 7469, 'description': 'Adipose cell', 'question_id': 1864, 'is_correct': False, 'created_at': '2024-07-02T14:49:01.272+05:30', 'updated_at': '2024-07-02T14:49:01.272+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7470, 'description': 'Bone marrow', 'question_id': 1864, 'is_correct': True, 'created_at': '2024-07-02T14:49:01.276+05:30', 'updated_at': '2024-07-02T14:49:01.276+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7471, 'description': 'Liver', 'question_id': 1864, 'is_correct': False, 'created_at': '2024-07-02T14:49:01.281+05:30', 'updated_at': '2024-07-02T14:49:01.281+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7472, 'description': 'Matrix', 'question_id': 1864, 'is_correct': False, 'created_at': '2024-07-02T14:49:01.284+05:30', 'updated_at': '2024-07-02T14:49:01.284+05:30', 'unanswered': False, 'photo_url': None}]"
1865,Which of the following vertebrate tissues would be an excellent source of collagen?,,structural organisation in animals ,True,2024-07-02T14:52:00.494+05:30,2024-11-30T18:39:28.444+05:30,"**Explanation:**

Collagen is a fibrous protein found abundantly in connective tissues. **Tendons** are composed primarily of dense connective tissue, which is rich in collagen fibers. These fibers provide strength and flexibility to tendons, enabling them to withstand the forces of muscle contractions and transmit forces to bones.

**Other vertebrate tissues that contain collagen include:**

* **Bones:** Collagen is found within the organic matrix of bones, providing strength and rigidity.
* **Cartilage:** Collagen is a major component of the extracellular matrix of cartilage, giving it resilience and resistance to compression.
* **Skin:** Collagen is found in the dermis layer of the skin, contributing to its elasticity and strength.

However, tendons are considered an excellent source of collagen due to their high concentration of tightly packed collagen fibers. These fibers can be easily extracted and purified for use in various medical and industrial applications, such as wound healing, tissue engineering, and cosmetics.",,False,False,,146,2054,,,,,,Q-bank,,,,False,,"[{'id': 7473, 'description': 'Liver', 'question_id': 1865, 'is_correct': False, 'created_at': '2024-07-02T14:52:00.498+05:30', 'updated_at': '2024-07-02T14:52:00.498+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7474, 'description': 'Nerve', 'question_id': 1865, 'is_correct': False, 'created_at': '2024-07-02T14:52:00.500+05:30', 'updated_at': '2024-07-02T14:52:00.500+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7475, 'description': 'Muscle', 'question_id': 1865, 'is_correct': False, 'created_at': '2024-07-02T14:52:00.504+05:30', 'updated_at': '2024-07-02T14:52:00.504+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7476, 'description': 'Tendon', 'question_id': 1865, 'is_correct': True, 'created_at': '2024-07-02T14:52:00.508+05:30', 'updated_at': '2024-07-02T14:52:00.508+05:30', 'unanswered': False, 'photo_url': None}]"
1866,The complexity in organ and organ systems displays certain discernable trend. This discernable trend is known as,,structural organisation in animals ,True,2024-07-02T14:53:37.810+05:30,2024-11-30T18:39:28.648+05:30,,,False,False,,146,2055,,,,,,Q-bank,,,,False,,"[{'id': 7477, 'description': 'Evolutionary trend', 'question_id': 1866, 'is_correct': True, 'created_at': '2024-07-02T14:53:37.813+05:30', 'updated_at': '2024-07-02T14:53:37.813+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7478, 'description': 'Morphological trend', 'question_id': 1866, 'is_correct': False, 'created_at': '2024-07-02T14:53:37.824+05:30', 'updated_at': '2024-07-02T14:53:37.824+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7479, 'description': 'Complexity trend', 'question_id': 1866, 'is_correct': False, 'created_at': '2024-07-02T14:53:37.827+05:30', 'updated_at': '2024-07-02T14:53:37.827+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7480, 'description': 'Anatomical trend', 'question_id': 1866, 'is_correct': False, 'created_at': '2024-07-02T14:53:37.830+05:30', 'updated_at': '2024-07-02T14:53:37.830+05:30', 'unanswered': False, 'photo_url': None}]"
1867,Which of the following statement is correct about anatomy,,structural organisation in animals ,True,2024-07-02T14:56:41.711+05:30,2024-11-30T18:39:28.846+05:30,"**Answer: Study of morphology of internal organs in the animal**

**Explanation:**

Anatomy is a branch of biology that deals with the structure and organization of living things. It is divided into two main branches:

* **Gross anatomy** - studies the structure of organs and body systems as seen with the naked eye
* **Microscopic anatomy** - studies the structure of cells and tissues using microscopes

The study of the morphology of internal organs in animals falls under the branch of gross anatomy. It involves examining the shape, size, and arrangement of organs within the body. This knowledge is essential for understanding how the body functions and how diseases can affect it.

**Additional context:**

* Anatomy is often divided into several subspecialties, including:
    * **Human anatomy** - the study of the structure of the human body
    * **Comparative anatomy** - the study of the structure of different animal species
    * **Developmental anatomy** - the study of how the body develops from an embryo to an adult
    * **Pathological anatomy** - the study of how diseases affect the body's structure
* Anatomy is closely related to physiology, which studies the function of living things. Together, anatomy and physiology provide a comprehensive understanding of how our bodies work.",,False,False,,146,2056,,,,,,Q-bank,,,,False,,"[{'id': 7481, 'description': 'Study of form or externally visible features', 'question_id': 1867, 'is_correct': False, 'created_at': '2024-07-02T14:56:41.716+05:30', 'updated_at': '2024-07-02T14:56:41.716+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7482, 'description': 'Study of internal as well as external features.', 'question_id': 1867, 'is_correct': False, 'created_at': '2024-07-02T14:56:41.722+05:30', 'updated_at': '2024-07-02T14:56:41.722+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7483, 'description': 'Study of morphology of internal organs in the animal', 'question_id': 1867, 'is_correct': True, 'created_at': '2024-07-02T14:56:41.725+05:30', 'updated_at': '2024-07-02T14:56:41.725+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7484, 'description': 'None of the above statements', 'question_id': 1867, 'is_correct': False, 'created_at': '2024-07-02T14:56:41.728+05:30', 'updated_at': '2024-07-02T14:56:41.728+05:30', 'unanswered': False, 'photo_url': None}]"
1868,General function of gland is to,,structural organisation in animals ,True,2024-07-02T15:04:19.702+05:30,2024-11-30T18:39:29.056+05:30,"**Explanation:**

Glands are specialized structures in animals that produce and secrete chemicals known as hormones, enzymes, or other substances. These substances play crucial roles in regulating and maintaining various body functions and processes.

**Additional Context:**

* **Types of glands:**
    * Endocrine glands: Secrete hormones directly into the bloodstream.
    * Exocrine glands: Secrete enzymes or other fluids into ducts or cavities within the body.

* **Functions of glands:**
    * Regulating metabolism and growth
    * Maintaining homeostasis (stable internal environment)
    * Facilitating digestion, reproduction, and lactation
    * Controlling blood sugar levels
    * Regulating blood pressure and heart rate
    * Triggering immune responses",,False,False,,146,2057,,,,,,Q-bank,,,,False,,"[{'id': 7485, 'description': 'protect the body', 'question_id': 1868, 'is_correct': False, 'created_at': '2024-07-02T15:04:19.709+05:30', 'updated_at': '2024-07-02T15:04:19.709+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7486, 'description': 'control the function of epithelial tissues', 'question_id': 1868, 'is_correct': False, 'created_at': '2024-07-02T15:04:19.713+05:30', 'updated_at': '2024-07-02T15:04:19.713+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7487, 'description': 'produce and secrete specialized compounds to control and maintain different body functions', 'question_id': 1868, 'is_correct': True, 'created_at': '2024-07-02T15:04:19.717+05:30', 'updated_at': '2024-07-02T15:04:19.717+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7488, 'description': 'help to maintain blood pressure and nerve actions', 'question_id': 1868, 'is_correct': False, 'created_at': '2024-07-02T15:04:19.722+05:30', 'updated_at': '2024-07-02T15:04:19.722+05:30', 'unanswered': False, 'photo_url': None}]"
1869,Which one of the following pair of structures distinguish a nerve cell from other types of cell ?,,structural organisation in animals ,True,2024-07-02T15:08:38.358+05:30,2024-11-30T18:39:29.257+05:30,"**Explanation:**

Nerve cells, also known as neurons, are specialized cells that transmit information within the nervous system. They have a unique morphology that distinguishes them from other cell types.

**Cell Body:**

* The cell body, also called the soma, is the main part of the nerve cell.
* It contains the nucleus, which houses the genetic material.
* The cell body is responsible for integrating and processing information received from other neurons.

**Dendrites:**

* Dendrites are branched extensions of the cell body that receive signals from other neurons.
* They increase the surface area of the cell, allowing it to receive signals from multiple sources.

These two structures are unique to nerve cells and play crucial roles in their function. The cell body integrates information, while the dendrites receive signals. Together, they allow nerve cells to communicate with each other and transmit information within the nervous system.

**Additional Context:**

* Neurons also have an axon, which is a long, slender extension that transmits signals away from the cell body.
* Different types of neurons have varying numbers of dendrites and axons, depending on their specific function.
* The structural organization of nerve cells is essential for understanding how the nervous system functions and processes information.",,False,False,,146,2058,,,,,,Q-bank,,,,False,,"[{'id': 7489, 'description': 'Vacuoles and Fibres', 'question_id': 1869, 'is_correct': False, 'created_at': '2024-07-02T15:08:38.362+05:30', 'updated_at': '2024-07-02T15:08:38.362+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7490, 'description': 'Flagellum and Medullary sheath', 'question_id': 1869, 'is_correct': False, 'created_at': '2024-07-02T15:08:38.365+05:30', 'updated_at': '2024-07-02T15:08:38.365+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7491, 'description': 'Nucleus and Mitochondria', 'question_id': 1869, 'is_correct': False, 'created_at': '2024-07-02T15:08:38.368+05:30', 'updated_at': '2024-07-03T18:44:22.831+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7492, 'description': 'Cell body and Dendrites', 'question_id': 1869, 'is_correct': True, 'created_at': '2024-07-02T15:08:38.370+05:30', 'updated_at': '2024-07-03T18:44:22.834+05:30', 'unanswered': False, 'photo_url': None}]"
1870,Frogs are:,,structural organisation in animals ,True,2024-07-02T15:09:54.371+05:30,2024-11-30T18:39:29.470+05:30,"**Explanation:**

Frogs belong to the class Amphibia, which means ""double life."" Amphibians are vertebrates that can live both in water and on land. Frogs have characteristics of both:

**(a) Poikilothermic (Cold-blooded):**
Frogs cannot regulate their body temperature internally. Instead, they rely on external heat sources to warm up or cool down.

**(c) Smooth and moist skin:**
Frogs have thin, smooth, and moist skin that lacks scales or hair. This allows them to absorb oxygen through their skin for respiration.

**Additional Context:**

* Frogs have a three-chambered heart, which is a characteristic of amphibians.
* They undergo metamorphosis, where they hatch as tadpoles and later develop into adult frogs.
* Frogs play an important role in aquatic ecosystems as predators and food sources.",,False,False,,146,2059,,,,,,Q-bank,,,,False,,"[{'id': 7494, 'description': 'Ureotelic', 'question_id': 1870, 'is_correct': False, 'created_at': '2024-07-02T15:09:54.375+05:30', 'updated_at': '2024-07-02T15:09:54.375+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7495, 'description': 'Stenothermal', 'question_id': 1870, 'is_correct': False, 'created_at': '2024-07-02T15:09:54.378+05:30', 'updated_at': '2024-07-02T15:09:54.378+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7496, 'description': 'Poikilothermal', 'question_id': 1870, 'is_correct': False, 'created_at': '2024-07-02T15:09:54.381+05:30', 'updated_at': '2024-07-02T15:09:54.381+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7497, 'description': 'Both (a) and (c)', 'question_id': 1870, 'is_correct': True, 'created_at': '2024-07-02T15:09:54.383+05:30', 'updated_at': '2024-07-02T15:09:54.383+05:30', 'unanswered': False, 'photo_url': None}]"
1871,Frog takes water through which of the following organs?,,structural organisation in animals ,True,2024-07-02T15:11:15.669+05:30,2024-11-30T18:39:29.681+05:30,"**Answer is correct because:**

Frogs have a semi-permeable skin that allows water and oxygen to pass through it. This is because frogs lack lungs and rely on their skin for respiration. The skin is also used for osmoregulation.

**Additional context:** 

* The skin of a frog is moist and slimy, which helps to keep it hydrated.
* The skin is also covered in tiny blood vessels, which helps to absorb oxygen from the water.
* Frogs also have a lymphatic system, which helps to remove excess water from the body.

**NEET exam relevance:** 

The NEET exam is a national level entrance exam for admission to medical and dental colleges in India. The exam covers a wide range of topics in biology, including structural organisation in animals. Students who are preparing for the NEET exam should be familiar with the different organs and their functions in animals.",,False,False,,146,2060,,,,,,Q-bank,,,,False,,"[{'id': 7498, 'description': 'Eyes', 'question_id': 1871, 'is_correct': False, 'created_at': '2024-07-02T15:11:15.674+05:30', 'updated_at': '2024-07-02T15:11:15.674+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7499, 'description': 'Skin', 'question_id': 1871, 'is_correct': True, 'created_at': '2024-07-02T15:11:15.676+05:30', 'updated_at': '2024-07-02T15:11:15.676+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7500, 'description': 'Mouth', 'question_id': 1871, 'is_correct': False, 'created_at': '2024-07-02T15:11:15.678+05:30', 'updated_at': '2024-07-02T15:11:15.678+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7501, 'description': 'Gills', 'question_id': 1871, 'is_correct': False, 'created_at': '2024-07-02T15:11:15.682+05:30', 'updated_at': '2024-07-02T15:11:15.682+05:30', 'unanswered': False, 'photo_url': None}]"
1872,Mesorchium in frogs is associated with,,structural organisation in animals ,True,2024-07-02T15:12:51.670+05:30,2024-11-30T18:39:29.881+05:30,,,False,False,,146,2061,,,,,,Q-bank,,,,False,,"[{'id': 7502, 'description': 'Testes', 'question_id': 1872, 'is_correct': False, 'created_at': '2024-07-02T15:12:51.674+05:30', 'updated_at': '2024-07-02T15:12:51.674+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7503, 'description': 'Kidney', 'question_id': 1872, 'is_correct': False, 'created_at': '2024-07-02T15:12:51.677+05:30', 'updated_at': '2024-07-02T15:12:51.677+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7504, 'description': 'Brain', 'question_id': 1872, 'is_correct': False, 'created_at': '2024-07-02T15:12:51.679+05:30', 'updated_at': '2024-07-02T15:12:51.679+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7505, 'description': 'Both (a) & (b)', 'question_id': 1872, 'is_correct': True, 'created_at': '2024-07-02T15:12:51.681+05:30', 'updated_at': '2024-07-02T15:12:51.681+05:30', 'unanswered': False, 'photo_url': None}]"
1873,"In frogs, the cloaca is used to pass",,structural organisation in animals ,True,2024-07-02T15:14:07.001+05:30,2024-11-30T18:39:30.099+05:30,,,False,False,,146,2062,,,,,,Q-bank,,,,False,,"[{'id': 7506, 'description': 'Sperms', 'question_id': 1873, 'is_correct': False, 'created_at': '2024-07-02T15:14:07.007+05:30', 'updated_at': '2024-07-02T15:14:07.007+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7507, 'description': 'Urine', 'question_id': 1873, 'is_correct': False, 'created_at': '2024-07-02T15:14:07.010+05:30', 'updated_at': '2024-07-02T15:14:07.010+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7508, 'description': 'Fecal matter', 'question_id': 1873, 'is_correct': False, 'created_at': '2024-07-02T15:14:07.013+05:30', 'updated_at': '2024-07-02T15:14:07.013+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7509, 'description': 'All of the them', 'question_id': 1873, 'is_correct': True, 'created_at': '2024-07-02T15:14:07.016+05:30', 'updated_at': '2024-07-02T15:14:07.016+05:30', 'unanswered': False, 'photo_url': None}]"
1874,"In a frog, if a hole is punched in the floor of its buccal cavity, then the frog will not die as",,structural organisation in animals ,True,2024-07-02T15:18:26.151+05:30,2024-11-30T18:39:30.306+05:30,"**Explanation:**

* In frogs, the buccal cavity is the first part of the digestive system. It is lined by a moist epithelium that helps in respiration.
* When a hole is punched in the floor of the buccal cavity, it creates an opening between the buccal cavity and the lungs.
* This allows air to enter the lungs directly, bypassing the nose and mouth.
* As a result, the frog can still breathe and will not die.

**Additional Context:**

* Frogs have three main modes of respiration: cutaneous (through the skin), buccal (through the buccal cavity), and pulmonary (through the lungs).
* Pulmonary respiration is the most efficient and is the primary mode of respiration in adult frogs.
* The lungs are located in the thoracic cavity and are lined by capillaries that allow for the exchange of gases.",,False,False,,146,2063,,,,,,Q-bank,,,,False,,"[{'id': 7510, 'description': 'buccal respiration does not stop', 'question_id': 1874, 'is_correct': False, 'created_at': '2024-07-02T15:18:26.156+05:30', 'updated_at': '2024-07-02T15:18:26.156+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7511, 'description': 'respiration other than lungs will continue', 'question_id': 1874, 'is_correct': False, 'created_at': '2024-07-02T15:18:26.159+05:30', 'updated_at': '2024-07-02T15:18:26.159+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7512, 'description': 'it can store oxygen for future use', 'question_id': 1874, 'is_correct': False, 'created_at': '2024-07-02T15:18:26.162+05:30', 'updated_at': '2024-07-02T15:18:26.162+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7513, 'description': 'pulmonary respiratory occurs', 'question_id': 1874, 'is_correct': True, 'created_at': '2024-07-02T15:18:26.169+05:30', 'updated_at': '2024-07-02T15:18:26.169+05:30', 'unanswered': False, 'photo_url': None}]"
1875,Identify the incorrect statement about frog.,,structural organisation in animals ,True,2024-07-02T15:23:53.821+05:30,2025-01-14T20:28:17.183+05:30,There are 10 pairs of cranial nerves that extend between the brain and various head regions and certain viscera.,,False,False,,146,2064,2025-01-14T00:00:00.000+05:30,Explanation was missing.,,kanza@testline.in,,Q-bank,,,,False,,"[{'id': 7514, 'description': 'Parathyroid and pineal body are present', 'question_id': 1875, 'is_correct': False, 'created_at': '2024-07-02T15:23:53.826+05:30', 'updated_at': '2024-07-02T15:23:53.826+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7515, 'description': 'Optic lobes are situated in the mid brain', 'question_id': 1875, 'is_correct': False, 'created_at': '2024-07-02T15:23:53.830+05:30', 'updated_at': '2024-07-10T11:13:33.053+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7516, 'description': 'There are ten cranial nerves only', 'question_id': 1875, 'is_correct': True, 'created_at': '2024-07-02T15:23:53.833+05:30', 'updated_at': '2024-07-02T15:23:53.833+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7517, 'description': 'The ventricle opens into the conus arteriousus', 'question_id': 1875, 'is_correct': False, 'created_at': '2024-07-02T15:23:53.835+05:30', 'updated_at': '2024-07-02T15:23:53.835+05:30', 'unanswered': False, 'photo_url': None}]"
